Zeuge / Referenz,korrigierte URI (oder leer),Status,Vorkommen
2_III_H.78,,(ok),"fischer-lamberg/III.xml:1417, fischer-lamberg/III.xml:1430, fischer-lamberg/III.xml:1442, fischer-lamberg/III.xml:1790, handschriftendatierung_iii.xml:1144, handschriftendatierung_iii.xml:1149"
2_III_H.78a,,(ok),handschriftendatierung_iii.xml:1156
2_III_H.79,,(ok),"fischer-lamberg/III.xml:1456, fischer-lamberg/III.xml:1800, handschriftendatierung_iii.xml:1157"
2_III_H.7_1,,(ok),"fischer-lamberg/III.xml:67, fischer-lamberg/III.xml:83, fischer-lamberg/III.xml:96, fischer-lamberg/III.xml:109, fischer-lamberg/III.xml:1569"
2_III_H.7_3,,(ok),"fischer-lamberg/III.xml:340, fischer-lamberg/III.xml:354, fischer-lamberg/III.xml:1574"
2_III_H.7_4,,(ok),"fischer-lamberg/III.xml:871, fischer-lamberg/III.xml:882, fischer-lamberg/III.xml:893, fischer-lamberg/III.xml:902, fischer-lamberg/III.xml:913, fischer-lamberg/III.xml:924, fischer-lamberg/III.xml:1579"
2_III_H.7_5,,(ok),"fischer-lamberg/III.xml:146, fischer-lamberg/III.xml:156, fischer-lamberg/III.xml:177, fischer-lamberg/III.xml:198, fischer-lamberg/III.xml:236"
2_III_H.8,,(ok),"fischer-lamberg/III.xml:62, fischer-lamberg/III.xml:78, fischer-lamberg/III.xml:93, fischer-lamberg/III.xml:106"
2_III_H.80,,(ok),"fischer-lamberg/III.xml:1465, fischer-lamberg/III.xml:1488, fischer-lamberg/III.xml:1805, handschriftendatierung_iii.xml:1164, wa/15_2/III.xml:662, wa/15_2/III.xml:683"
2_III_H.81,,(ok),"fischer-lamberg/III.xml:1472, fischer-lamberg/III.xml:1480, fischer-lamberg/III.xml:1487, wa/15_2/III.xml:667, wa/15_2/III.xml:672, wa/15_2/III.xml:677, wa/15_2/III.xml:682"
2_III_H.81a,,(ok),"fischer-lamberg/III.xml:1473, fischer-lamberg/III.xml:1504"
2_III_H.9,,(ok),"fischer-lamberg/III.xml:135, handschriftendatierung_iii.xml:308, handschriftendatierung_iii.xml:315, handschriftendatierung_iii.xml:321"
2_II_H.1,,(ok),"fischer-lamberg/II.xml:9, handschriftendatierung_ii.xml:24"
2_II_H.10,,(ok),"fischer-lamberg/II.xml:94, fischer-lamberg/II.xml:111, fischer-lamberg/II.xml:121, fischer-lamberg/II.xml:130, fischer-lamberg/II.xml:139, fischer-lamberg/II.xml:696, handschriftendatierung_ii.xml:110, wa/15_2/II.xml:57, wa/15_2/II.xml:63, wa/15_2/II.xml:68, wa/15_2/II.xml:75, wa/15_2/II.xml:81, wa/15_2/II.xml:91, wa/15_2/II.xml:96"
2_II_H.11,,(ok),"fischer-lamberg/II.xml:103, fischer-lamberg/II.xml:112, fischer-lamberg/II.xml:122, fischer-lamberg/II.xml:131, fischer-lamberg/II.xml:140, fischer-lamberg/II.xml:151, fischer-lamberg/II.xml:161, fischer-lamberg/II.xml:703, handschriftendatierung_ii.xml:136, wa/15_2/II.xml:86, wa/15_2/II.xml:92, wa/15_2/II.xml:102"
2_II_H.12,,(ok),"fischer-lamberg/II.xml:132, fischer-lamberg/II.xml:142, handschriftendatierung_ii.xml:759, wa/15_2/II.xml:97"
2_II_H.13,,(ok),"fischer-lamberg/II.xml:144, fischer-lamberg/II.xml:152, fischer-lamberg/II.xml:162, fischer-lamberg/II.xml:247, fischer-lamberg/II.xml:253, fischer-lamberg/II.xml:677, handschriftendatierung_ii.xml:121, handschriftendatierung_ii.xml:129, handschriftendatierung_ii.xml:135, handschriftendatierung_ii.xml:142, handschriftendatierung_ii.xml:182, handschriftendatierung_ii.xml:289, wa/15_2/II.xml:103, wa/15_2/II.xml:197"
2_II_H.14,,(ok),"fischer-lamberg/II.xml:166, fischer-lamberg/II.xml:708, handschriftendatierung_ii.xml:86, handschriftendatierung_ii.xml:150, wa/15_2/II.xml:108, wa/15_2/II.xml:114"
2_II_H.15,,(ok),"fischer-lamberg/II.xml:176, fischer-lamberg/II.xml:376, fischer-lamberg/II.xml:438, fischer-lamberg/II.xml:713, handschriftendatierung_ii.xml:157, wa/15_2/II.xml:126, wa/15_2/II.xml:315, wa/15_2/II.xml:319"
2_II_H.16,,(ok),"fischer-lamberg/II.xml:183, fischer-lamberg/II.xml:197, fischer-lamberg/II.xml:278, wa/15_2/II.xml:134, wa/15_2/II.xml:141, wa/15_2/II.xml:208"
2_II_H.16a,,(ok),handschriftendatierung_ii.xml:95
2_II_H.17,,(ok),"fischer-lamberg/II.xml:191, fischer-lamberg/II.xml:198, fischer-lamberg/II.xml:204, fischer-lamberg/II.xml:254, fischer-lamberg/II.xml:348, fischer-lamberg/II.xml:723, handschriftendatierung_ii.xml:166, handschriftendatierung_ii.xml:174, handschriftendatierung_ii.xml:183, handschriftendatierung_ii.xml:297, wa/15_2/II.xml:142, wa/15_2/II.xml:148, wa/15_2/II.xml:195, wa/15_2/II.xml:246"
2_II_H.18,,(ok),"fischer-lamberg/II.xml:203, fischer-lamberg/II.xml:231, fischer-lamberg/II.xml:368, fischer-lamberg/II.xml:377, wa/15_2/II.xml:147, wa/15_2/II.xml:153, wa/15_2/II.xml:167, wa/15_2/II.xml:269"
2_II_H.19,,(ok),"fischer-lamberg/II.xml:211, fischer-lamberg/II.xml:527, fischer-lamberg/II.xml:728, wa/15_2/II.xml:157, wa/15_2/II.xml:371"
2_II_H.20,,(ok),"fischer-lamberg/II.xml:225, fischer-lamberg/II.xml:232, fischer-lamberg/II.xml:270, fischer-lamberg/II.xml:280, fischer-lamberg/II.xml:411, fischer-lamberg/II.xml:735, handschriftendatierung_ii.xml:195, handschriftendatierung_ii.xml:201, handschriftendatierung_ii.xml:208, handschriftendatierung_ii.xml:216, wa/15_2/II.xml:162, wa/15_2/II.xml:168, wa/15_2/II.xml:174, wa/15_2/II.xml:209"
2_II_H.21,,(ok),"fischer-lamberg/II.xml:238, handschriftendatierung_ii.xml:224, wa/15_2/II.xml:179"
2_II_H.22,,(ok),"fischer-lamberg/II.xml:244, fischer-lamberg/II.xml:495, fischer-lamberg/II.xml:496, fischer-lamberg/II.xml:506, fischer-lamberg/II.xml:507, fischer-lamberg/II.xml:563, fischer-lamberg/II.xml:750, handschriftendatierung_ii.xml:234, handschriftendatierung_ii.xml:241, handschriftendatierung_ii.xml:265, handschriftendatierung_ii.xml:305, handschriftendatierung_ii.xml:431, wa/15_2/II.xml:353"
2_II_H.23,,(ok),"fischer-lamberg/II.xml:246, fischer-lamberg/II.xml:419, fischer-lamberg/II.xml:432, fischer-lamberg/II.xml:439, handschriftendatierung_ii.xml:248, handschriftendatierung_ii.xml:258, handschriftendatierung_ii.xml:266, handschriftendatierung_ii.xml:274, wa/15_2/II.xml:185, wa/15_2/II.xml:281, wa/15_2/II.xml:287, wa/15_2/II.xml:320"
2_II_H.24,,(ok),"fischer-lamberg/II.xml:245, fischer-lamberg/II.xml:387, fischer-lamberg/II.xml:418, handschriftendatierung_ii.xml:249, wa/15_2/II.xml:186, wa/15_2/II.xml:314"
2_II_H.25,,(ok),"fischer-lamberg/II.xml:255, fischer-lamberg/II.xml:349, fischer-lamberg/II.xml:497, fischer-lamberg/II.xml:564, fischer-lamberg/II.xml:756, handschriftendatierung_ii.xml:143, handschriftendatierung_ii.xml:282, handschriftendatierung_ii.xml:290, handschriftendatierung_ii.xml:298, handschriftendatierung_ii.xml:306, handschriftendatierung_ii.xml:438, handschriftendatierung_ii.xml:502, wa/15_2/II.xml:196, wa/15_2/II.xml:247, wa/15_2/II.xml:354"
2_II_H.26,,(ok),"fischer-lamberg/II.xml:102, fischer-lamberg/II.xml:261, fischer-lamberg/II.xml:279, handschriftendatierung_ii.xml:313, wa/15_2/II.xml:201"
2_II_H.27_2,,(ok),handschriftendatierung_ii.xml:322
2_II_H.28,,(ok),"fischer-lamberg/II.xml:263, fischer-lamberg/II.xml:272, fischer-lamberg/II.xml:282, fischer-lamberg/II.xml:290, handschriftendatierung_ii.xml:210, handschriftendatierung_ii.xml:330, wa/15_2/II.xml:203, wa/15_2/II.xml:211"
2_II_H.29,,(ok),"fischer-lamberg/II.xml:297, handschriftendatierung_ii.xml:337, handschriftendatierung_ii.xml:345, wa/15_2/II.xml:221"
2_II_H.3,,(ok),"fischer-lamberg/II.xml:37, handschriftendatierung_ii.xml:33, wa/15_2/II.xml:18"
2_II_H.30,,(ok),"fischer-lamberg/II.xml:298, handschriftendatierung_ii.xml:338, handschriftendatierung_ii.xml:346, wa/15_2/II.xml:222"
2_II_H.31,,(ok),"fischer-lamberg/II.xml:299, wa/15_2/II.xml:223"
2_II_H.31a,,(ok),handschriftendatierung_ii.xml:356
2_II_H.32,,(ok),"fischer-lamberg/II.xml:313, wa/15_2/II.xml:229"
2_II_H.33,,(ok),"fischer-lamberg/II.xml:321, fischer-lamberg/II.xml:774, handschriftendatierung_ii.xml:363, handschriftendatierung_ii.xml:369, handschriftendatierung_ii.xml:383, wa/15_2/II.xml:234"
2_II_H.34,,(ok),"fischer-lamberg/II.xml:322, fischer-lamberg/II.xml:779, handschriftendatierung_ii.xml:370, handschriftendatierung_ii.xml:377, handschriftendatierung_ii.xml:384, wa/15_2/II.xml:235"
2_II_H.35,,(ok),"fischer-lamberg/II.xml:330, fischer-lamberg/II.xml:339, handschriftendatierung_ii.xml:391, wa/15_2/II.xml:240"
2_II_H.36,,(ok),"fischer-lamberg/II.xml:331, fischer-lamberg/II.xml:340, handschriftendatierung_ii.xml:392, wa/15_2/II.xml:241"
2_II_H.36a,,(ok),"wa/15_2/II.xml:254, wa/15_2/II.xml:258"
2_II_H.37,,(ok),fischer-lamberg/II.xml:359
2_II_H.38,,(ok),"fischer-lamberg/II.xml:367, fischer-lamberg/II.xml:784"
2_II_H.39,,(ok),"fischer-lamberg/II.xml:369, fischer-lamberg/II.xml:378, fischer-lamberg/II.xml:396, wa/15_2/II.xml:270, wa/15_2/II.xml:274, wa/15_2/II.xml:292"
2_II_H.4,,(ok),"fischer-lamberg/II.xml:43, handschriftendatierung_ii.xml:42, wa/15_2/II.xml:28"
2_II_H.40,,(ok),"fischer-lamberg/II.xml:386, wa/15_2/II.xml:280, wa/15_2/II.xml:285"
2_II_H.41,,(ok),"fischer-lamberg/II.xml:388, wa/15_2/II.xml:286"
2_II_H.42,,(ok),"fischer-lamberg/II.xml:395, handschriftendatierung_ii.xml:406, handschriftendatierung_ii.xml:490, wa/15_2/II.xml:291"
2_II_H.43,,(ok),"fischer-lamberg/II.xml:404, wa/15_2/II.xml:297"
2_II_H.44,,(ok),"fischer-lamberg/II.xml:405, wa/15_2/II.xml:298"
2_II_H.45,,(ok),"fischer-lamberg/II.xml:791, handschriftendatierung_ii.xml:273, handschriftendatierung_ii.xml:416"
2_II_H.46,,(ok),"fischer-lamberg/II.xml:425, handschriftendatierung_ii.xml:424, handschriftendatierung_ii.xml:430, handschriftendatierung_ii.xml:437, handschriftendatierung_ii.xml:444, handschriftendatierung_ii.xml:452"
2_II_H.47,,(ok),"fischer-lamberg/II.xml:426, fischer-lamberg/II.xml:466, fischer-lamberg/II.xml:481, handschriftendatierung_ii.xml:453, handschriftendatierung_ii.xml:460, wa/15_2/II.xml:348"
2_II_H.47a,,(ok),wa/15_2/II.xml:309
2_II_H.48,,(ok),"fischer-lamberg/II.xml:445, fischer-lamberg/II.xml:473, fischer-lamberg/II.xml:798, handschriftendatierung_ii.xml:468, handschriftendatierung_ii.xml:474, handschriftendatierung_v.xml:2209, wa/15_2/II.xml:341"
2_II_H.49,,(ok),"fischer-lamberg/II.xml:451, fischer-lamberg/II.xml:465, fischer-lamberg/II.xml:487, handschriftendatierung_ii.xml:459, handschriftendatierung_ii.xml:484, handschriftendatierung_ii.xml:491, wa/15_2/II.xml:331"
2_II_H.5,,(ok),fischer-lamberg/II.xml:55
2_II_H.50,,(ok),"fischer-lamberg/II.xml:459, wa/15_2/II.xml:325"
2_II_H.51,,(ok),"wa/15_2/II.xml:332, wa/15_2/II.xml:336, wa/15_2/II.xml:342"
2_II_H.52,,(ok),"fischer-lamberg/II.xml:480, fischer-lamberg/II.xml:806, wa/15_2/II.xml:347"
2_II_H.53,,(ok),fischer-lamberg/II.xml:488
2_II_H.54,,(ok),"fischer-lamberg/II.xml:417, fischer-lamberg/II.xml:498, handschriftendatierung_ii.xml:503, wa/15_2/II.xml:355"
2_II_H.55,,(ok),"fischer-lamberg/II.xml:514, fischer-lamberg/II.xml:606, fischer-lamberg/II.xml:813, handschriftendatierung_ii.xml:511, wa/15_2/II.xml:360, wa/15_2/II.xml:425"
2_II_H.56,,(ok),"fischer-lamberg/II.xml:219, fischer-lamberg/II.xml:520, fischer-lamberg/II.xml:528, fischer-lamberg/II.xml:821, handschriftendatierung_ii.xml:518, handschriftendatierung_ii.xml:524, handschriftendatierung_ii.xml:538, wa/15_2/II.xml:366, wa/15_2/II.xml:372, wa/15_2/II.xml:377"
2_II_H.57,,(ok),"fischer-lamberg/II.xml:467, fischer-lamberg/II.xml:474, fischer-lamberg/II.xml:521, fischer-lamberg/II.xml:529, fischer-lamberg/II.xml:832, handschriftendatierung_ii.xml:525, handschriftendatierung_ii.xml:532, handschriftendatierung_ii.xml:539, handschriftendatierung_ii.xml:546, handschriftendatierung_ii.xml:560, wa/15_2/II.xml:367"
2_II_H.58,,(ok),"fischer-lamberg/II.xml:535, fischer-lamberg/II.xml:827, handschriftendatierung_ii.xml:545, handschriftendatierung_ii.xml:553, handschriftendatierung_ii.xml:559, wa/15_2/II.xml:378"
2_II_H.59,,(ok),"fischer-lamberg/II.xml:542, wa/15_2/II.xml:383"
2_II_H.6,,(ok),fischer-lamberg/II.xml:67
2_II_H.60,,(ok),"fischer-lamberg/II.xml:549, fischer-lamberg/II.xml:570, fischer-lamberg/II.xml:837, wa/15_2/II.xml:394"
2_II_H.61,,(ok),"fischer-lamberg/II.xml:556, fischer-lamberg/II.xml:843, handschriftendatierung_ii.xml:571, handschriftendatierung_ii.xml:577, handschriftendatierung_ii.xml:591, wa/15_2/II.xml:388"
2_II_H.62,,(ok),"fischer-lamberg/II.xml:557, fischer-lamberg/II.xml:848, handschriftendatierung_ii.xml:578, handschriftendatierung_ii.xml:585, handschriftendatierung_ii.xml:592, wa/15_2/II.xml:389"
2_II_H.63,,(ok),"fischer-lamberg/II.xml:579, fischer-lamberg/II.xml:854, handschriftendatierung_ii.xml:599, wa/15_2/II.xml:399"
2_II_H.64,,(ok),"fischer-lamberg/II.xml:585, fischer-lamberg/II.xml:863, wa/15_2/II.xml:405, wa/15_2/II.xml:411"
2_II_H.65,,(ok),"fischer-lamberg/II.xml:586, fischer-lamberg/II.xml:869, wa/15_2/II.xml:406, wa/15_2/II.xml:412"
2_II_H.66,,(ok),"fischer-lamberg/II.xml:587, fischer-lamberg/II.xml:875, fischer-lamberg/II.xml:882, wa/15_2/II.xml:407, wa/15_2/II.xml:413"
2_II_H.67,,(ok),"fischer-lamberg/II.xml:593, fischer-lamberg/II.xml:883, fischer-lamberg/II.xml:889, wa/15_2/II.xml:404, wa/15_2/II.xml:419, wa/15_2/II.xml:426"
2_II_H.68,,(ok),"fischer-lamberg/II.xml:599, fischer-lamberg/II.xml:605, fischer-lamberg/II.xml:896"
2_II_H.69,,(ok),"wa/15_2/II.xml:432, wa/15_2/II.xml:456, wa/15_2/II.xml:462, wa/15_2/II.xml:472, wa/15_2/II.xml:484, wa/15_2/II.xml:494"
2_II_H.7,,(ok),"fischer-lamberg/II.xml:80, handschriftendatierung_ii.xml:65, wa/15_2/II.xml:39"
2_II_H.70,,(ok),"fischer-lamberg/II.xml:614, fischer-lamberg/II.xml:621, fischer-lamberg/II.xml:629, fischer-lamberg/II.xml:637, fischer-lamberg/II.xml:645, fischer-lamberg/II.xml:901, handschriftendatierung_ii.xml:614, wa/15_2/II.xml:433, wa/15_2/II.xml:445, wa/15_2/II.xml:457, wa/15_2/II.xml:473, wa/15_2/II.xml:485, wa/15_2/II.xml:495"
2_II_H.71,,(ok),"fischer-lamberg/II.xml:620, fischer-lamberg/II.xml:906, handschriftendatierung_ii.xml:621, wa/15_2/II.xml:440, wa/15_2/II.xml:444, wa/15_2/II.xml:450, wa/15_2/II.xml:455"
2_II_H.72,,(ok),"fischer-lamberg/II.xml:627, fischer-lamberg/II.xml:643, wa/15_2/II.xml:463, wa/15_2/II.xml:468, wa/15_2/II.xml:489, wa/15_2/II.xml:496"
2_II_H.73,,(ok),"fischer-lamberg/II.xml:630, fischer-lamberg/II.xml:638, wa/15_2/II.xml:474, wa/15_2/II.xml:478, wa/15_2/II.xml:497, wa/15_2/II.xml:502"
2_II_H.74,,(ok),"fischer-lamberg/II.xml:73, fischer-lamberg/II.xml:79, fischer-lamberg/II.xml:88, fischer-lamberg/II.xml:96, fischer-lamberg/II.xml:105, fischer-lamberg/II.xml:114, fischer-lamberg/II.xml:145, fischer-lamberg/II.xml:153, fischer-lamberg/II.xml:169, fischer-lamberg/II.xml:178, fischer-lamberg/II.xml:185, fischer-lamberg/II.xml:192, fischer-lamberg/II.xml:212, fischer-lamberg/II.xml:220, fischer-lamberg/II.xml:226, fischer-lamberg/II.xml:233, fischer-lamberg/II.xml:239, fischer-lamberg/II.xml:248, fischer-lamberg/II.xml:256, fischer-lamberg/II.xml:264, fischer-lamberg/II.xml:300, fischer-lamberg/II.xml:338, fischer-lamberg/II.xml:350, fischer-lamberg/II.xml:360, fischer-lamberg/II.xml:370, fischer-lamberg/II.xml:379, fischer-lamberg/II.xml:389, fischer-lamberg/II.xml:397, fischer-lamberg/II.xml:412, fischer-lamberg/II.xml:420, fischer-lamberg/II.xml:427, fischer-lamberg/II.xml:433, fischer-lamberg/II.xml:440, fischer-lamberg/II.xml:446, fischer-lamberg/II.xml:452, fischer-lamberg/II.xml:460, fischer-lamberg/II.xml:468, fischer-lamberg/II.xml:475, fischer-lamberg/II.xml:482, fischer-lamberg/II.xml:489, fischer-lamberg/II.xml:499, fischer-lamberg/II.xml:508, fischer-lamberg/II.xml:515, fischer-lamberg/II.xml:522, fischer-lamberg/II.xml:530, fischer-lamberg/II.xml:536, fischer-lamberg/II.xml:543, fischer-lamberg/II.xml:550, fischer-lamberg/II.xml:558, fischer-lamberg/II.xml:565, fischer-lamberg/II.xml:571, fischer-lamberg/II.xml:580, fischer-lamberg/II.xml:588, fischer-lamberg/II.xml:594, fischer-lamberg/II.xml:600, fischer-lamberg/II.xml:607, fischer-lamberg/II.xml:911, wa/15_2/II.xml:38, wa/15_2/II.xml:46, wa/15_2/II.xml:52, wa/15_2/II.xml:64, wa/15_2/II.xml:70, wa/15_2/II.xml:104, wa/15_2/II.xml:110, wa/15_2/II.xml:121, wa/15_2/II.xml:128, wa/15_2/II.xml:136, wa/15_2/II.xml:158, wa/15_2/II.xml:163, wa/15_2/II.xml:169, wa/15_2/II.xml:180, wa/15_2/II.xml:204, wa/15_2/II.xml:212, wa/15_2/II.xml:224, wa/15_2/II.xml:248, wa/15_2/II.xml:253, wa/15_2/II.xml:275, wa/15_2/II.xml:293, wa/15_2/II.xml:299, wa/15_2/II.xml:303, wa/15_2/II.xml:308, wa/15_2/II.xml:321, wa/15_2/II.xml:326, wa/15_2/II.xml:337, wa/15_2/II.xml:343, wa/15_2/II.xml:349, wa/15_2/II.xml:361, wa/15_2/II.xml:373, wa/15_2/II.xml:379, wa/15_2/II.xml:384, wa/15_2/II.xml:390, wa/15_2/II.xml:395, wa/15_2/II.xml:400, wa/15_2/II.xml:414, wa/15_2/II.xml:420, wa/15_2/II.xml:427, wa/15_2/II.xml:451"
2_II_H.8_1,,(ok),"fischer-lamberg/II.xml:167, handschriftendatierung_ii.xml:72, handschriftendatierung_ii.xml:80, handschriftendatierung_ii.xml:111, wa/15_2/II.xml:45, wa/15_2/II.xml:51, wa/15_2/II.xml:61, wa/15_2/II.xml:69, wa/15_2/II.xml:76, wa/15_2/II.xml:87, wa/15_2/II.xml:98, wa/15_2/II.xml:109, wa/15_2/II.xml:120, wa/15_2/II.xml:127, wa/15_2/II.xml:135"
2_II_H.8_2,,(ok),"handschriftendatierung_ii.xml:79, handschriftendatierung_ii.xml:87, wa/15_2/II.xml:115, wa/15_2/II.xml:119, wa/15_2/II.xml:152"
2_II_H.9,,(ok),"fischer-lamberg/II.xml:93, fischer-lamberg/II.xml:683, handschriftendatierung_ii.xml:103, wa/15_2/II.xml:50, wa/15_2/II.xml:56, wa/15_2/II.xml:62, wa/15_2/II.xml:74, wa/15_2/II.xml:80"
2_IV_H.1,,(ok),"handschriftendatierung_iv.xml:9, handschriftendatierung_iv.xml:16, handschriftendatierung_iv.xml:528, wa/15_2/IV.xml:196"
2_IV_H.10,,(ok),"handschriftendatierung_iv.xml:86, handschriftendatierung_iv.xml:116, handschriftendatierung_iv.xml:124, handschriftendatierung_iv.xml:252, wa/15_2/IV.xml:63, wa/15_2/IV.xml:112"
2_IV_H.11,,(ok),"handschriftendatierung_iv.xml:93, handschriftendatierung_iv.xml:115, handschriftendatierung_iv.xml:133, handschriftendatierung_iv.xml:140, handschriftendatierung_iv.xml:223, wa/15_2/IV.xml:64, wa/15_2/IV.xml:90, wa/15_2/IV.xml:96"
2_IV_H.12,,(ok),"wa/15_2/IV.xml:74, wa/15_2/IV.xml:80"
2_IV_H.13,,(ok),"handschriftendatierung_iv.xml:100, handschriftendatierung_iv.xml:123, handschriftendatierung_iv.xml:141, handschriftendatierung_iv.xml:174, handschriftendatierung_iv.xml:182, handschriftendatierung_iv.xml:189, handschriftendatierung_iv.xml:196, handschriftendatierung_iv.xml:203, handschriftendatierung_iv.xml:210, handschriftendatierung_iv.xml:217, handschriftendatierung_iv.xml:224, handschriftendatierung_iv.xml:231, handschriftendatierung_iv.xml:238, handschriftendatierung_iv.xml:245, handschriftendatierung_iv.xml:251, handschriftendatierung_iv.xml:258, handschriftendatierung_iv.xml:265, handschriftendatierung_iv.xml:275, handschriftendatierung_iv.xml:300, handschriftendatierung_iv.xml:315, handschriftendatierung_iv.xml:339, handschriftendatierung_iv.xml:364, handschriftendatierung_iv.xml:395, handschriftendatierung_iv.xml:427, wa/15_2/IV.xml:69, wa/15_2/IV.xml:75, wa/15_2/IV.xml:85, wa/15_2/IV.xml:107, wa/15_2/IV.xml:113, wa/15_2/IV.xml:119, wa/15_2/IV.xml:126, wa/15_2/IV.xml:130"
2_IV_H.13a,,(ok),"wa/15_2/IV.xml:182, wa/15_2/IV.xml:186, wa/15_2/IV.xml:197"
2_IV_H.14,,(ok),"handschriftendatierung_iv.xml:244, handschriftendatierung_iv.xml:274, wa/15_2/IV.xml:86, wa/15_2/IV.xml:101, wa/15_2/IV.xml:106"
2_IV_H.15,,(ok),"handschriftendatierung_iv.xml:107, handschriftendatierung_iv.xml:230, handschriftendatierung_iv.xml:284, handschriftendatierung_iv.xml:292, handschriftendatierung_iv.xml:299, wa/15_2/IV.xml:97, wa/15_2/IV.xml:118"
2_IV_H.16,,(ok),"handschriftendatierung_iv.xml:266, handschriftendatierung_iv.xml:308, handschriftendatierung_iv.xml:316, handschriftendatierung_iv.xml:324"
2_IV_H.17,,(ok),"handschriftendatierung_iv.xml:202, handschriftendatierung_iv.xml:331, handschriftendatierung_iv.xml:338, handschriftendatierung_iv.xml:355, wa/15_2/IV.xml:124, wa/15_2/IV.xml:142"
2_IV_H.18,,(ok),"handschriftendatierung_iv.xml:209, handschriftendatierung_iv.xml:332, handschriftendatierung_iv.xml:348, handschriftendatierung_iv.xml:356, handschriftendatierung_iv.xml:363, wa/15_2/IV.xml:125"
2_IV_H.2,,(ok),"handschriftendatierung_iv.xml:24, handschriftendatierung_iv.xml:31, handschriftendatierung_iv.xml:39, wa/15_2/IV.xml:8, wa/15_2/IV.xml:20, wa/15_2/IV.xml:26, wa/15_2/IV.xml:31"
2_IV_H.20,,(ok),"wa/15_2/IV.xml:137, wa/15_2/IV.xml:181, wa/15_2/IV.xml:191"
2_IV_H.21,,(ok),"handschriftendatierung_iv.xml:259, handschriftendatierung_iv.xml:428, wa/15_2/IV.xml:138"
2_IV_H.21a,,(ok),"handschriftendatierung_iv.xml:473, handschriftendatierung_iv.xml:480, handschriftendatierung_iv.xml:512, wa/15_2/IV.xml:143, wa/15_2/IV.xml:147"
2_IV_H.22,,(ok),wa/15_2/IV.xml:152
2_IV_H.22a,,(ok),"handschriftendatierung_iv.xml:489, wa/15_2/IV.xml:162, wa/15_2/IV.xml:173"
2_IV_H.22b,,(ok),"handschriftendatierung_iv.xml:452, handschriftendatierung_iv.xml:459"
2_IV_H.22c,,(ok),"handschriftendatierung_iv.xml:490, handschriftendatierung_iv.xml:496, wa/15_2/IV.xml:168, wa/15_2/IV.xml:174"
2_IV_H.22d,,(ok),"handschriftendatierung_iv.xml:481, handschriftendatierung_iv.xml:505, handschriftendatierung_iv.xml:511, wa/15_2/IV.xml:180"
2_IV_H.22g,,(ok),"handschriftendatierung_iv.xml:529, handschriftendatierung_iv.xml:538, handschriftendatierung_iv.xml:544, wa/15_2/IV.xml:206, wa/15_2/IV.xml:212"
2_IV_H.3,,(ok),"wa/15_2/IV.xml:9, wa/15_2/IV.xml:14"
2_IV_H.4,,(ok),wa/15_2/IV.xml:13
2_IV_H.5,,(ok),"handschriftendatierung_iv.xml:30, handschriftendatierung_iv.xml:47, handschriftendatierung_iv.xml:628, wa/15_2/IV.xml:19"
2_IV_H.7,,(ok),"wa/15_2/IV.xml:32, wa/15_2/IV.xml:37, wa/15_2/IV.xml:47"
2_IV_H.8,,(ok),"handschriftendatierung_iv.xml:63, handschriftendatierung_iv.xml:71, handschriftendatierung_iv.xml:79, handschriftendatierung_iv.xml:387, handschriftendatierung_iv.xml:460, handschriftendatierung_iv.xml:497, wa/15_2/IV.xml:52, wa/15_2/IV.xml:57, wa/15_2/IV.xml:157, wa/15_2/IV.xml:163, wa/15_2/IV.xml:169, wa/15_2/IV.xml:175"
2_IV_H.9,,(ok),"handschriftendatierung_iv.xml:78, handschriftendatierung_iv.xml:85, handschriftendatierung_iv.xml:92, handschriftendatierung_iv.xml:99, handschriftendatierung_iv.xml:106, handschriftendatierung_iv.xml:216, wa/15_2/IV.xml:58"
2_I_H.1,,(ok),handschriftendatierung_i.xml:10
2_I_H.10,,(ok),wa/15_2/I.xml:173
2_I_H.11,,(ok),handschriftendatierung_i.xml:132
2_I_H.13,,(ok),"fischer-lamberg/II.xml:25, fischer-lamberg/II.xml:917, handschriftendatierung_i.xml:163, wa/15_2/I.xml:77"
2_I_H.14,,(ok),wa/15_2/I.xml:72
2_I_H.15,,(ok),"handschriftendatierung_i.xml:173, wa/15_2/I.xml:82"
2_I_H.15a,,(ok),wa/15_2/I.xml:83
2_I_H.15b,,(ok),"wa/15_2/I.xml:87, wa/15_2/I.xml:92"
2_I_H.17,,(ok),"handschriftendatierung_i.xml:154, handschriftendatierung_i.xml:180, handschriftendatierung_i.xml:188, handschriftendatierung_i.xml:220, handschriftendatierung_i.xml:236, wa/15_2/I.xml:97, wa/15_2/I.xml:113, wa/15_2/I.xml:132, wa/15_2/I.xml:139, wa/15_2/I.xml:146, wa/15_2/I.xml:151"
2_I_H.18,,(ok),"handschriftendatierung_i.xml:187, wa/15_2/I.xml:102, wa/15_2/I.xml:140"
2_I_H.19,,(ok),wa/15_2/I.xml:107
2_I_H.2,,(ok),wa/15_2/I.xml:18
2_I_H.20,,(ok),"wa/15_2/I.xml:108, wa/15_2/I.xml:123"
2_I_H.21,,(ok),"wa/15_2/I.xml:112, wa/15_2/I.xml:118, wa/15_2/I.xml:127, wa/15_2/I.xml:138"
2_I_H.22,,(ok),"handschriftendatierung_i.xml:212, wa/15_2/I.xml:145"
2_I_H.23,,(ok),handschriftendatierung_i.xml:219
