Zeuge / Referenz,korrigierte URI (oder leer),Status,Vorkommen
faust://document/wa/2_III_H.7/2,faust://document/fischer_lamberg/2_III_H.7__2-3,unknown,handschriftendatierung_iii.xml:217
faust://document/wa/2_III_H.7/3,faust://document/fischer_lamberg/2_III_H.7__2-3,unknown,handschriftendatierung_iii.xml:223
faust://document/wa/2_III_H.7/4,faust://document/fischer_lamberg/2_III_H.7_4,unknown,"handschriftendatierung_iii.xml:231, handschriftendatierung_iii.xml:236, handschriftendatierung_iii.xml:243"
faust://document/wa/2_III_H.7/5,faust://document/fischer_lamberg/2_III_H.7_5,unknown,"handschriftendatierung_iii.xml:252, handschriftendatierung_iii.xml:260"
faust://document/wa/2_III_H.7/6,faust://document/fischer_lamberg/2_III_H.7_6,unknown,"handschriftendatierung_iii.xml:267, handschriftendatierung_iii.xml:272"
faust://document/wa/2_III_H.78_a,faust://document/wa/2_III_H.78a,unknown,"fischer-lamberg/III.xml:1455, fischer-lamberg/III.xml:1795"
faust://document/wa/2_III_H.8/i_r,,unknown,handschriftendatierung_iii.xml:146
faust://document/wa/2_III_H.n,faust://document/fischer_lamberg/2_III_H.n,unknown,"fischer-lamberg/III.xml:946, fischer-lamberg/III.xml:954, fischer-lamberg/III.xml:975, fischer-lamberg/III.xml:986, fischer-lamberg/III.xml:1836, handschriftendatierung_iii.xml:881"
faust://document/wa/2_III_H.q,faust://document/bohnenkamp/2_III_H.q,unknown,handschriftendatierung_iii.xml:874
faust://document/wa/2_II_H,faust://document/wa/2_H,unknown,"fischer-lamberg/II.xml:10, fischer-lamberg/II.xml:19, fischer-lamberg/II.xml:26, fischer-lamberg/II.xml:32, fischer-lamberg/II.xml:38, fischer-lamberg/II.xml:44, fischer-lamberg/II.xml:50, fischer-lamberg/II.xml:56, fischer-lamberg/II.xml:62, fischer-lamberg/II.xml:68, fischer-lamberg/II.xml:74, fischer-lamberg/II.xml:81, fischer-lamberg/II.xml:115, fischer-lamberg/II.xml:307, fischer-lamberg/II.xml:314, fischer-lamberg/II.xml:323, fischer-lamberg/II.xml:332, fischer-lamberg/II.xml:341, fischer-lamberg/II.xml:406, fischer-lamberg/II.xml:500, fischer-lamberg/II.xml:509, fischer-lamberg/II.xml:615, fischer-lamberg/II.xml:622, fischer-lamberg/II.xml:631, wa/15_2/II.xml:9, wa/15_2/II.xml:14, wa/15_2/II.xml:19, wa/15_2/II.xml:24, wa/15_2/II.xml:29, wa/15_2/II.xml:40, wa/15_2/II.xml:122, wa/15_2/II.xml:129, wa/15_2/II.xml:137, wa/15_2/II.xml:170, wa/15_2/II.xml:181, wa/15_2/II.xml:190, wa/15_2/II.xml:225, wa/15_2/II.xml:230, wa/15_2/II.xml:236, wa/15_2/II.xml:242, wa/15_2/II.xml:249, wa/15_2/II.xml:276, wa/15_2/II.xml:327, wa/15_2/II.xml:356, wa/15_2/II.xml:362, wa/15_2/II.xml:415, wa/15_2/II.xml:421, wa/15_2/II.xml:428, wa/15_2/II.xml:434, wa/15_2/II.xml:446, wa/15_2/II.xml:458, wa/15_2/II.xml:479, wa/15_2/II.xml:498, wa/15_2/II.xml:503"
faust://document/wa/2_II_H.31_a,faust://document/wa/2_II_H.31a,unknown,fischer-lamberg/II.xml:768
faust://document/wa/2_II_H.31_alpha,,unknown,fischer-lamberg/II.xml:306
faust://document/wa/2_II_H.8a,faust://document/fischer_lamberg/2_II_H.8a,unknown,handschriftendatierung_ii.xml:128
faust://document/wa/2_II_H.alpha,,unknown,"wa/15_2/II.xml:23, wa/15_2/II.xml:259, wa/15_2/II.xml:304, wa/15_2/II.xml:310"
faust://document/wa/2_II_IH.56,faust://document/wa/2_I_H.56,unknown,wa/15_2/II.xml:44
faust://document/wa/2_II_IH.i,faust://document/wa/2_I_H.1,unknown,wa/15_2/II.xml:13
faust://document/wa/2_IV_H,faust://document/wa/2_H,unknown,"wa/15_2/IV.xml:15, wa/15_2/IV.xml:21, wa/15_2/IV.xml:27, wa/15_2/IV.xml:42, wa/15_2/IV.xml:48, wa/15_2/IV.xml:53, wa/15_2/IV.xml:59, wa/15_2/IV.xml:65, wa/15_2/IV.xml:70, wa/15_2/IV.xml:76, wa/15_2/IV.xml:91, wa/15_2/IV.xml:108, wa/15_2/IV.xml:114, wa/15_2/IV.xml:120, wa/15_2/IV.xml:131, wa/15_2/IV.xml:148, wa/15_2/IV.xml:153, wa/15_2/IV.xml:158, wa/15_2/IV.xml:164, wa/15_2/IV.xml:176, wa/15_2/IV.xml:187, wa/15_2/IV.xml:192, wa/15_2/IV.xml:202, wa/15_2/IV.xml:213"
faust://document/wa/2_IV_H.11/,faust://document/wa/2_IV_H.11,unknown,handschriftendatierung_iv.xml:291
faust://document/wa/2_IV_H.9/,faust://document/wa/2_IV_H.9,unknown,handschriftendatierung_iv.xml:283
faust://document/wa/2_I_H.alpha,,unknown,"wa/15_2/I.xml:29, wa/15_2/I.xml:62, wa/15_2/I.xml:293"
faust://document/wa/2_I_H_i,faust://document/wa/2_I_H.i,unknown,fischer-lamberg/II.xml:31
faust://document/wa/2_V_H.11/,faust://document/wa/2_V_H.11,unknown,handschriftendatierung_v.xml:534
faust://document/wa/2_V_H.2b,faust://document/wa/2_V_H.b,unknown,wa/15_2/V.xml:168
faust://document/wa/2_V_H.33I,faust://document/landeck/2_V_H.33I,unknown,"handschriftendatierung_v.xml:1640, handschriftendatierung_v.xml:1647, handschriftendatierung_v.xml:1655"
faust://document/wa/2_V_H.39,faust://document/landeck/2_V_H.39,unknown,handschriftendatierung_v.xml:1885
faust://document/wa/2_V_H.alpha,,unknown,wa/15_2/V.xml:25
faust://document/wa/C.1_4,,unknown,"wa/15_2/III.xml:51, wa/15_2/III.xml:602"
faust://document/wa/C.1_41,faust://bibliography/C.1_41,unknown,"wa/15_2/I.xml:24, wa/15_2/II.xml:263, wa/15_2/III.xml:447, wa/15_2/IV.xml:38, wa/15_2/IV.xml:102, wa/15_2/V.xml:8"
faust://document/wa/C_12,,unknown,"wa/15_2/I.xml:9, wa/15_2/I.xml:68, wa/15_2/I.xml:88, wa/15_2/I.xml:103, wa/15_2/I.xml:128, wa/15_2/I.xml:336"
faust://document/wa/C_4,,unknown,"wa/15_2/III.xml:131, wa/15_2/III.xml:332"
faust://document/wa/C_41,,unknown,"wa/15_2/I.xml:14, wa/15_2/I.xml:36, wa/15_2/I.xml:46, wa/15_2/I.xml:134, wa/15_2/I.xml:153, wa/15_2/I.xml:311, wa/15_2/I.xml:331, wa/15_2/I.xml:356, wa/15_2/I.xml:413, wa/15_2/I.xml:430, wa/15_2/II.xml:33, wa/15_2/II.xml:82, wa/15_2/II.xml:130, wa/15_2/II.xml:143, wa/15_2/II.xml:175, wa/15_2/II.xml:191, wa/15_2/II.xml:265, wa/15_2/II.xml:435, wa/15_2/III.xml:132, wa/15_2/III.xml:258, wa/15_2/III.xml:331, wa/15_2/III.xml:435, wa/15_2/III.xml:448, wa/15_2/III.xml:603, wa/15_2/III.xml:608, wa/15_2/III.xml:678, wa/15_2/IV.xml:22, wa/15_2/IV.xml:43, wa/15_2/IV.xml:92, wa/15_2/IV.xml:132, wa/15_2/IV.xml:208, wa/15_2/V.xml:20, wa/15_2/V.xml:71, wa/15_2/V.xml:117, wa/15_2/V.xml:136, wa/15_2/V.xml:226, wa/15_2/V.xml:266, wa/15_2/V.xml:316"
faust://document/wa/H_P104,faust://document/bohnenkamp/H_P104,unknown,"handschriftendatierung_i.xml:772, handschriftendatierung_i.xml:800"
faust://document/wa/H_P105,faust://document/bohnenkamp/H_P105,unknown,handschriftendatierung_i.xml:779
faust://document/wa/H_P125,faust://document/bohnenkamp/H_P125,unknown,handschriftendatierung_ii.xml:217
faust://document/wa/H_P165,faust://document/bohnenkamp/H_P165,unknown,"handschriftendatierung_iii.xml:589, handschriftendatierung_iii.xml:649"
faust://document/wa/H_P166a,faust://document/bohnenkamp/H_P166a,unknown,"handschriftendatierung_iii.xml:773, handschriftendatierung_iii.xml:1391, handschriftendatierung_iii.xml:1399, handschriftendatierung_iii.xml:1413"
faust://document/wa/H_P176a,faust://document/bohnenkamp/H_P176a,unknown,handschriftendatierung_iii.xml:1445
faust://document/wa/H_P194,faust://document/bohnenkamp/H_P194,unknown,handschriftendatierung_v.xml:2152
faust://document/wa/H_P63,faust://document/bohnenkamp/H_P63,unknown,handschriftendatierung_i.xml:848
faust://document/wa/H_P65,faust://document/bohnenkamp/H_P65,unknown,"handschriftendatierung_i.xml:847, handschriftendatierung_i.xml:862"
faust://document/wa/H_P69,faust://document/bohnenkamp/H_P69,unknown,handschriftendatierung_i.xml:863
faust://document/wa/P129Var,faust://document/fischer-lamberg/2_II_H.2d,unknown,handschriftendatierung_uncertain.xml:91
faust://document/wa/P164,faust://document/wa/2_III_H.6,unknown,"handschriftendatierung_iii.xml:183, handschriftendatierung_iii.xml:1326"
faust://document/wa/P181,faust://document/bohnenkamp/H_P181,unknown,"handschriftendatierung_iv.xml:157, handschriftendatierung_iv.xml:410"
faust://document/wa/P190a,faust://document/bohnenkamp/H_P190a,unknown,handschriftendatierung_uncertain.xml:108
faust://document/wa/P194,faust://document/bohnenkamp/H_P194,unknown,handschriftendatierung_v.xml:145
faust://document/wa/P195,faust://document/bohnenkamp/H_P195,unknown,"handschriftendatierung_v.xml:2168, handschriftendatierung_v.xml:2175"
faust://document/wa/Q,faust://bibliography/Q,unknown,"wa/15_2/II.xml:34, wa/15_2/II.xml:264, wa/15_2/III.xml:133, wa/15_2/V.xml:9"
faust://inscription/bohnenkamp/P10/i_3_u,,unknown,handschriftendatierung_pre1800.xml:554
faust://inscription/fischer_lamberg/2_III_H.15/,,unknown,"fischer-lamberg/III.xml:261, fischer-lamberg/III.xml:262, fischer-lamberg/III.xml:273, fischer-lamberg/III.xml:274, fischer-lamberg/III.xml:285"
faust://inscription/fischer_lamberg/P170a/i_1_o,,unknown,"handschriftendatierung_iii.xml:968, handschriftendatierung_iii.xml:982"
faust://inscription/fischer_lamberg/P170a/i_uebrige,,unknown,"handschriftendatierung_iii.xml:989, handschriftendatierung_iii.xml:996"
faust://inscription/wa/182/i_r_o,,unknown,"handschriftendatierung_iv.xml:165, handschriftendatierung_iv.xml:418"
faust://inscription/wa/2_H_P167/i_uebrige,,unknown,handschriftendatierung_iii.xml:376
faust://inscription/wa/2_III_H.5/r/i_r_r,,unknown,"handschriftendatierung_iii.xml:124, handschriftendatierung_iii.xml:131, handschriftendatierung_iii.xml:138"
faust://inscription/wa/2_III_H.58/i_r/,,unknown,handschriftendatierung_i.xml:693
faust://inscription/wa/H_P65/i_uebrige,,unknown,handschriftendatierung_pre1800.xml:362
faust://inscription/wa/P179.1/i_1_r,,unknown,handschriftendatierung_iv.xml:552
faust://inscription/wa/P179.2/i_2_r,,unknown,handschriftendatierung_iv.xml:558
faust://inscription/wa/P179.3/i_1_v,,unknown,"handschriftendatierung_iv.xml:564, handschriftendatierung_iv.xml:583"
faust://inscription/wa/P191Var/i_v_u,,unknown,handschriftendatierung_iv.xml:403
faust://inscription/wa/P230,,unknown,handschriftendatierung_v.xml:1438
faust://print/dla_marbach/Cotta_Manuskripte_Goethe_Ausg_letzter_Hand,faust://print/dla_marbach/Cotta_Manuskripte_Goethe__Ausg._letzter_Hand,unknown,print.xml:15
faust://inscription/faustedition/2_III_H.1/alpha,,unknown-inscription,wa/15_2/III.xml:195
faust://inscription/faustedition/2_III_H.27/alpha,,unknown-inscription,wa/15_2/III.xml:224
faust://inscription/faustedition/2_III_H.2_1/alpha,,unknown-inscription,"wa/15_2/III.xml:19, wa/15_2/III.xml:296, wa/15_2/III.xml:303, wa/15_2/III.xml:466, wa/15_2/III.xml:472, wa/15_2/III.xml:510"
faust://inscription/faustedition/2_III_H.30/alpha,,unknown-inscription,wa/15_2/III.xml:243
faust://inscription/faustedition/2_III_H.3a_1/alpha,,unknown-inscription,"wa/15_2/III.xml:338, wa/15_2/III.xml:364"
faust://inscription/faustedition/2_III_H.70/alpha,,unknown-inscription,wa/15_2/III.xml:627
faust://inscription/faustedition/2_III_H.71/alpha,,unknown-inscription,wa/15_2/III.xml:612
faust://inscription/faustedition/2_II_H.28/alpha,,unknown-inscription,wa/15_2/II.xml:217
faust://inscription/faustedition/2_II_H.69/alpha,,unknown-inscription,"wa/15_2/II.xml:467, wa/15_2/II.xml:483, wa/15_2/II.xml:490"
faust://inscription/faustedition/2_II_H.71/alpha,,unknown-inscription,wa/15_2/II.xml:439
faust://inscription/faustedition/2_I_H.21/alpha,,unknown-inscription,"wa/15_2/I.xml:117, wa/15_2/I.xml:122"
faust://inscription/faustedition/2_I_H.32/alpha,,unknown-inscription,wa/15_2/I.xml:299
faust://inscription/faustedition/2_V_H.2/alpha,,unknown-inscription,"wa/15_2/V.xml:55, wa/15_2/V.xml:147, wa/15_2/V.xml:153, wa/15_2/V.xml:157, wa/15_2/V.xml:214"
faust://inscription/faustedition/2_V_H.28/alpha,,unknown-inscription,wa/15_2/V.xml:181
