,uri,label,kind,inscription_of,position,rank,max_before_date,max_abs_before_date,min_after_date,min_abs_after_date,avg,avg_year,yearlabel,baseline_position
2 I H.46,faust://document/faustedition/2_I_H.46,2 I H.46,Witness,,543,705,1828-01-31,1828-01-31,1829-12-28,1829-12-28,1829-01-13,1829.0,1828 … 1829,195
C.1 12,faust://document/faustedition/C.1_12,C.1 12,Witness,,544,721,1828-03-31,1828-03-31,1828-06-01,1828-06-01,1828-05-01,1828.0,1828,646
C.3 4,faust://document/faustedition/C.3_4,C.3 4,Witness,,545,728,1828-03-31,1828-03-31,1828-06-01,1828-06-01,1828-05-01,1828.0,1828,650
H P179a,faust://document/faustedition/H_P179a,H P179a,Witness,,546,724,1828-04-17,1828-04-17,1828-10-16,1828-10-16,1828-07-17,1828.0,1828,626
H P180,faust://document/faustedition/H_P180,H P180,Witness,,547,725,1828-04-17,,1831-05-17,,1829-10-31,1829.0,1828 … 1831,627
wa: P179.1 i_1_r,faust://inscription/wa/P179.1/i_1_r,wa: P179.1 i_1_r,Inscription,wa: P179.1,548,725,1828-04-17,,,,1828-04-17,1828.0,1828,693
wa: P179.3 i_1_v,faust://inscription/wa/P179.3/i_1_v,wa: P179.3 i_1_v,Inscription,wa: P179.3,549,725,1828-04-17,,,,1828-04-17,1828.0,1828,694
C.2α 4,faust://document/faustedition/C.2alpha_4,C.2α 4,Witness,,550,727,1828-05-16,1828-05-16,1829-01-01,1829-01-01,1828-09-08,1828.0,1828,648
2 III H.69a,faust://document/faustedition/2_III_H.69a,2 III H.69a,Witness,,551,738,1828-07-01,1828-07-01,1828-07-03,1828-07-03,1828-07-02,1828.0,1828,425
2 II H.14,faust://document/faustedition/2_II_H.14,2 II H.14,Witness,,552,746,1829-01-20,1829-01-20,1829-07-21,1829-07-21,1829-04-21,1829.0,1829,234
2 II H.8:2,faust://document/faustedition/2_II_H.8_2,2 II H.8:2,Witness,,553,747,1829-01-20,,1830-01-18,,1829-07-20,1829.0,1829 … 1830,226
C.3 12,faust://document/faustedition/C.3_12,C.3 12,Witness,,554,754,1829-02-28,1829-02-28,1829-11-01,1829-11-01,1829-07-01,1829.0,1829,649
gsa_2: GSA_25_W_1806,faust://document/gsa_2/GSA_25_W_1806,gsa_2: GSA_25_W_1806,UnknownRef,,555,751,1829-03-01,1829-03-01,1829-08-30,1829-08-30,1829-05-31,1829.0,1829,664
2 I H.58,faust://document/faustedition/2_I_H.58,2 I H.58,Witness,,556,756,1829-08-19,1829-08-19,1829-09-01,1829-09-01,1829-08-25,1829.0,1829,209
2 I H.57,faust://document/faustedition/2_I_H.57,2 I H.57,Witness,,557,757,1829-08-27,1829-08-27,1830-01-18,1830-02-25,1829-11-07,1829.0,1829 … 1830,208
