,uri,label,kind,inscription_of,position,start_pos,end_pos,rank,max_before_date,max_abs_before_date,min_after_date,min_abs_after_date,avg,avg_year,yearlabel,baseline_position
2 V H.15a i_r_g,faust://inscription/faustedition/2_V_H.15a/i_r_g,2 V H.15a i_r_g,Inscription,2 V H.15a,296,591,592,310,1825-02-25,1825-02-25,1825-04-06,1825-04-06,1825-03-17,1825.0,1825,55
2 V H.4 i_uebrige,faust://inscription/faustedition/2_V_H.4/i_uebrige,2 V H.4 i_uebrige,Inscription,2 V H.4,297,593,594,320,1825-02-25,1825-02-25,1825-03-05,1825-04-06,1825-03-01,1825.0,1825,66
2 V H.5,faust://document/faustedition/2_V_H.5,2 V H.5,Witness,,298,595,596,322,1825-02-25,1825-02-24,1825-03-05,1825-04-01,1825-03-01,1825.0,1825,500
2 V H.6,faust://document/faustedition/2_V_H.6,2 V H.6,Witness,,299,597,598,324,1825-02-25,1825-02-24,1825-03-05,1825-04-01,1825-03-01,1825.0,1825,501
2 V H.8,faust://document/faustedition/2_V_H.8,2 V H.8,Witness,,300,599,600,326,1825-02-25,1825-02-24,1825-03-05,1825-04-01,1825-03-01,1825.0,1825,503
2 V H.8 i_r,faust://inscription/faustedition/2_V_H.8/i_r,2 V H.8 i_r,Inscription,2 V H.8,301,601,602,326,1825-02-25,,,,1825-02-25,1825.0,1825,54
2 V H.8 i_uebrige,faust://inscription/faustedition/2_V_H.8/i_uebrige,2 V H.8 i_uebrige,Inscription,2 V H.8,302,603,604,326,1825-02-25,1825-02-25,1825-03-05,,1825-03-01,1825.0,1825,67
2 V H.7,faust://document/faustedition/2_V_H.7,2 V H.7,Witness,,303,605,606,330,1825-02-25,1825-02-25,1825-03-05,1825-04-01,1825-03-01,1825.0,1825,502
2 V H.9,faust://document/faustedition/2_V_H.9,2 V H.9,Witness,,304,607,608,332,1825-02-25,1825-02-25,1825-03-05,1825-03-05,1825-03-01,1825.0,1825,504
2 V H.10,faust://document/faustedition/2_V_H.10,2 V H.10,Witness,,305,609,610,334,1825-02-25,1825-02-25,1825-03-08,1825-03-08,1825-03-02,1825.0,1825,505
2 V H.11,faust://document/faustedition/2_V_H.11,2 V H.11,Witness,,306,611,612,336,1825-02-25,1825-02-24,1825-03-08,1825-04-01,1825-03-02,1825.0,1825,506
2 V H.12:1,faust://document/faustedition/2_V_H.12_1,2 V H.12:1,Witness,,307,613,614,338,1825-02-25,,1825-03-17,,1825-03-07,1825.0,1825,508
2 V H.4 i_v,faust://inscription/faustedition/2_V_H.4/i_v,2 V H.4 i_v,Inscription,2 V H.4,308,615,616,336,1825-02-25,,,,1825-02-25,1825.0,1825,88
2_III_H.8: i_r,faust://document/wa/2_III_H.8/i_r,2_III_H.8: i_r,UnknownRef,,309,617,618,312,1825-02-25,,,,1825-02-25,1825.0,1825,113
gsa_2: GSA_25_W_1575,faust://document/gsa_2/GSA_25_W_1575,gsa_2: GSA_25_W_1575,UnknownRef,,310,619,620,310,1825-02-25,1825-02-25,1830-01-01,1830-01-01,1827-07-30,1827.0,1825 … 1829,676
H P165,faust://document/faustedition/H_P165,H P165,Witness,,311,621,622,318,1825-02-25,,,,1825-02-25,1825.0,1825,630
H P93,faust://document/faustedition/H_P93,H P93,Witness,,312,623,624,310,1825-02-25,1825-02-25,1825-04-06,1825-04-06,1825-03-17,1825.0,1825,591
H P167 i_v,faust://inscription/faustedition/H_P167/i_v,H P167 i_v,Inscription,H P167,313,625,626,310,1825-02-25,1825-02-25,1825-04-06,1825-04-06,1825-03-17,1825.0,1825,692
2 V H.24 i_r,faust://inscription/faustedition/2_V_H.24/i_r,2 V H.24 i_r,Inscription,2 V H.24,314,627,628,313,1825-02-26,1825-02-26,1825-02-27,1825-02-28,1825-02-26,1825.0,1825,47
2 V H.22,faust://document/faustedition/2_V_H.22,2 V H.22,Witness,,315,629,630,315,1825-02-26,1825-02-24,1825-02-27,1825-04-01,1825-02-26,1825.0,1825,522
2 V H.23,faust://document/faustedition/2_V_H.23,2 V H.23,Witness,,316,631,632,317,1825-02-26,1825-02-25,1825-02-27,1825-03-01,1825-02-26,1825.0,1825,523
2 V H.21,faust://document/faustedition/2_V_H.21,2 V H.21,Witness,,317,633,634,321,1825-02-26,1825-02-24,1825-02-27,1825-02-28,1825-02-26,1825.0,1825,521
2 V H.26,faust://document/faustedition/2_V_H.26,2 V H.26,Witness,,318,635,636,319,1825-02-26,,1825-03-17,,1825-03-07,1825.0,1825,526
2 V H.32,faust://document/faustedition/2_V_H.32,2 V H.32,Witness,,319,637,638,317,1825-02-26,1825-02-24,1825-03-07,1825-04-01,1825-03-02,1825.0,1825,534
2 V H.24 i_v,faust://inscription/faustedition/2_V_H.24/i_v,2 V H.24 i_v,Inscription,2 V H.24,320,639,640,323,1825-02-26,1824-08-29,1825-02-27,1825-02-27,1825-02-26,1825.0,1825,80
2 V H.31 i_r_o,faust://inscription/faustedition/2_V_H.31/i_r_o,2 V H.31 i_r_o,Inscription,2 V H.31,321,641,642,319,1825-02-26,,1825-03-07,,1825-03-02,1825.0,1825,57
2 V H.17 i_v,faust://inscription/faustedition/2_V_H.17/i_v,2 V H.17 i_v,Inscription,2 V H.17,322,643,644,323,1825-02-26,,1825-03-17,1825-04-07,1825-03-07,1825.0,1825,78
2 V H.18,faust://document/faustedition/2_V_H.18,2 V H.18,Witness,,323,645,646,325,1825-02-26,,1825-03-17,,1825-03-07,1825.0,1825,518
2 V H.17,faust://document/faustedition/2_V_H.17,2 V H.17,Witness,,324,647,648,327,1825-02-26,1825-02-24,1825-03-17,1825-04-01,1825-03-07,1825.0,1825,517
2 V H.26 i_r,faust://inscription/faustedition/2_V_H.26/i_r,2 V H.26 i_r,Inscription,2 V H.26,325,649,650,329,1825-02-26,,1825-03-17,1825-04-07,1825-03-07,1825.0,1825,46
2 V H.26 i_v,faust://inscription/faustedition/2_V_H.26/i_v,2 V H.26 i_v,Inscription,2 V H.26,326,651,652,329,1825-02-26,,1825-03-17,1825-04-07,1825-03-07,1825.0,1825,79
2 III H.8 i_v,faust://inscription/faustedition/2_III_H.8/i_v,2 III H.8 i_v,Inscription,2 III H.8,327,653,654,328,1825-03-01,1825-03-01,1825-03-30,1825-04-01,1825-03-15,1825.0,1825,86
2 V H.13 i_r,faust://inscription/faustedition/2_V_H.13/i_r,2 V H.13 i_r,Inscription,2 V H.13,328,655,656,328,1825-03-01,1825-03-01,1825-03-08,1825-03-08,1825-03-04,1825.0,1825,44
2 V H.31 i_r_uebrige,faust://inscription/faustedition/2_V_H.31/i_r_uebrige,2 V H.31 i_r_uebrige,Inscription,2 V H.31,329,657,658,332,1825-03-01,1825-03-01,1825-03-07,1825-04-01,1825-03-04,1825.0,1825,60
2 V H.31 i_v,faust://inscription/faustedition/2_V_H.31/i_v,2 V H.31 i_v,Inscription,2 V H.31,330,659,660,332,1825-03-01,1825-03-01,1825-03-07,1825-04-01,1825-03-04,1825.0,1825,82
2 V H.30,faust://document/faustedition/2_V_H.30,2 V H.30,Witness,,331,661,662,338,1825-03-01,1825-02-24,1825-03-07,1825-03-07,1825-03-04,1825.0,1825,531
2 V H.31,faust://document/faustedition/2_V_H.31,2 V H.31,Witness,,332,663,664,340,1825-03-01,1825-02-24,1825-03-17,1825-04-01,1825-03-09,1825.0,1825,532
2 V H.31a,faust://document/faustedition/2_V_H.31a,2 V H.31a,Witness,,333,665,666,340,1825-03-01,1824-09-19,1825-03-20,1825-03-20,1825-03-10,1825.0,1825,533
2 V H.2 alpha,faust://inscription/faustedition/2_V_H.2/alpha,2 V H.2 alpha,Inscription,2 V H.2,334,667,668,346,1825-03-01,,1825-03-17,,1825-03-09,1825.0,1825,25
2 V H.12: … (2),faust://document/wa/2_V_H.12,2 V H.12: … (2),AmbiguousRef,,335,669,670,354,1825-03-01,1825-03-01,1825-03-08,1825-03-08,1825-03-04,1825.0,1825,507
2 V H.13,faust://document/faustedition/2_V_H.13,2 V H.13,Witness,,336,671,672,362,1825-03-01,1825-02-24,1825-03-17,1825-04-01,1825-03-09,1825.0,1825,510
H P163,faust://document/faustedition/H_P163,H P163,Witness,,337,673,674,330,1825-03-01,1825-02-25,1825-03-30,1825-04-06,1825-03-15,1825.0,1825,628
2 III H.13,faust://document/faustedition/2_III_H.13,2 III H.13,Witness,,338,675,676,332,1825-03-01,1825-03-01,1825-03-30,1825-04-01,1825-03-15,1825.0,1825,340
2 III H.11,faust://document/faustedition/2_III_H.11,2 III H.11,Witness,,339,677,678,334,1825-03-01,1825-02-25,1825-04-06,1825-05-30,1825-03-19,1825.0,1825,337
2 III H.14,faust://document/faustedition/2_III_H.14,2 III H.14,Witness,,340,679,680,336,1825-03-01,1824-10-21,1825-03-30,1825-04-21,1825-03-15,1825.0,1825,341
2 III H.18,faust://document/faustedition/2_III_H.18,2 III H.18,Witness,,341,681,682,332,1825-03-01,1822-09-29,1825-03-30,,1825-03-15,1825.0,1825,345
2 III H.15,faust://document/faustedition/2_III_H.15,2 III H.15,Witness,,342,683,684,340,1825-03-01,1822-09-29,1825-03-30,,1825-03-15,1825.0,1825,342
fischer_lamberg: 2_III_H.15 ,faust://inscription/fischer_lamberg/2_III_H.15/,fischer_lamberg: 2_III_H.15 ,Inscription,fischer_lamberg: 2_III_H.15,343,685,686,340,1825-03-01,,1825-04-02,,1825-03-17,1825.0,1825,98
wa: 2_III_H.15II,faust://document/wa/2_III_H.15II,wa: 2_III_H.15II,UnknownRef,,344,687,688,342,1825-03-01,,1825-04-06,,1825-03-19,1825.0,1825,111
2 III H.16,faust://document/faustedition/2_III_H.16,2 III H.16,Witness,,345,689,690,346,1825-03-01,,1825-04-06,,1825-03-19,1825.0,1825,343
2 III H.6: … (2),faust://document/wa/2_III_H.6,2 III H.6: … (2),AmbiguousRef,,346,691,692,344,1825-03-01,1822-09-29,1825-03-30,1825-03-30,1825-03-15,1825.0,1825,322
2 III H.19,faust://document/faustedition/2_III_H.19,2 III H.19,Witness,,347,693,694,348,1825-03-01,1824-10-02,1825-04-02,1825-04-02,1825-03-17,1825.0,1825,346
2 III H.20,faust://document/faustedition/2_III_H.20,2 III H.20,Witness,,348,695,696,346,1825-03-01,,1825-04-06,,1825-03-19,1825.0,1825,347
