,uri,label,kind,inscription_of,position,start_pos,end_pos,rank,max_before_date,max_abs_before_date,min_after_date,min_abs_after_date,avg,avg_year,yearlabel,baseline_position
2 IV H.22d,faust://document/faustedition/2_IV_H.22d,2 IV H.22d,Witness,,720,365,1450,874,,,,,,,,484
2 IV H.22g,faust://document/faustedition/2_IV_H.22g,2 IV H.22g,Witness,,721,370,1451,874,,,,,,,,488
2 IV H.22 … (2),faust://document/wa/2_IV_H.g,2 IV H.22 … (2),AmbiguousRef,,722,755,1452,876,,,,,,,,485
H P181,faust://document/faustedition/H_P181,H P181,Witness,,723,877,1453,874,,,,,,,,641
2 IV H.19 i_uebrige,faust://inscription/faustedition/2_IV_H.19/i_uebrige,2 IV H.19 i_uebrige,Inscription,2 IV H.19,724,640,1454,881,,,,,,,,62
2 IV H.19,faust://document/faustedition/2_IV_H.19,2 IV H.19,Witness,,725,352,1455,879,,,,,,,,476
2 IV H.16,faust://document/faustedition/2_IV_H.16,2 IV H.16,Witness,,726,348,1456,903,,,,,,,,473
H P129 Var*,faust://document/faustedition/H_P129_Var_,H P129 Var*,Witness,,727,840,1457,908,,,,,,,,619
C.1 41,faust://bibliography/C.1_41,C.1 41,UnknownRef,,728,786,1458,919,,,,,,,,665
C.3 41,faust://bibliography/C.3_41,C.3 41,UnknownRef,,729,787,1459,915,,,,,,,,666
Q,faust://bibliography/Q,Q,UnknownRef,,730,984,1460,923,,,,,,,,711
