,uri,label,kind,inscription_of,position,rank,max_before_date,max_abs_before_date,min_after_date,min_abs_after_date,avg,avg_year,yearlabel,baseline_position
2 IV H.8,faust://document/faustedition/2_IV_H.8,2 IV H.8,Witness,,702,988,1831-06-29,1831-05-29,1831-11-27,1831-11-27,1831-09-12,1831.0,1831,453
2 IV H.13,faust://document/faustedition/2_IV_H.13,2 IV H.13,Witness,,703,997,1831-06-29,,1832-06-06,,1831-12-17,1831.0,1831 … 1832,458
2 H,faust://document/faustedition/2_H,2 H,Witness,,704,1141,1831-06-29,1826-08-12,1832-06-06,,1831-12-17,1831.0,1831 … 1832,117
2 IV H.10,faust://document/faustedition/2_IV_H.10,2 IV H.10,Witness,,705,986,1831-06-29,,,,1831-06-29,1831.0,1831,455
2 IV H.21,faust://document/faustedition/2_IV_H.21,2 IV H.21,Witness,,706,989,1831-06-29,,,,1831-06-29,1831.0,1831,468
wa: C.1_4,faust://document/wa/C.1_4,wa: C.1_4,UnknownRef,,707,1032,1831-06-29,,1836-06-12,,1833-12-20,1833.0,1831 … 1836,643
wa: C_12,faust://document/wa/C_12,wa: C_12,UnknownRef,,708,1036,1831-06-29,,,,1831-06-29,1831.0,1831,645
wa: C_4,faust://document/wa/C_4,wa: C_4,UnknownRef,,709,1032,1831-06-29,,1836-06-12,,1833-12-20,1833.0,1831 … 1836,644
wa: P191Var i_v_u,faust://inscription/wa/P191Var/i_v_u,wa: P191Var i_v_u,Inscription,wa: P191Var,710,973,1831-06-29,,,,1831-06-29,1831.0,1831,696
2 IV H.16,faust://document/faustedition/2_IV_H.16,2 IV H.16,Witness,,711,1050,1831-12-07,1831-12-07,1832-06-06,1832-06-06,1832-03-07,1832.0,1831 … 1832,463
H P129 Var*,faust://document/faustedition/H_P129_Var_,H P129 Var*,Witness,,712,1010,1832-03-21,1832-03-21,1832-09-19,1832-09-19,1832-06-20,1832.0,1832,606
C.1 41,faust://bibliography/C.1_41,C.1 41,UnknownRef,,713,1062,1833-02-28,1833-02-28,1833-04-01,1833-04-01,1833-03-16,1833.0,1833,651
wa: C_41,faust://document/wa/C_41,wa: C_41,UnknownRef,,714,1079,1833-02-28,,1836-06-12,,1834-10-21,1834.0,1833 … 1836,642
C.3 41,faust://bibliography/C.3_41,C.3 41,UnknownRef,,715,1060,1833-03-31,1833-03-31,1833-05-01,1833-05-01,1833-04-15,1833.0,1833,652
Q,faust://bibliography/Q,Q,UnknownRef,,716,1070,1836-03-15,1836-03-15,1836-06-12,1836-06-12,1836-04-28,1836.0,1836,697
